"Park","Site","Lat","Long","State","Country","County","Locality","HeatLoad","TimesBurnt","SiteStatus","Aspect","DomSp","Slope","FirePerim"
"YOSE","N1321",37.64478098,119.523266,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,41278,NA,7,NA
"YOSE","N1322",37.64483001,119.521001,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,91,NA,14,NA
"YOSE","N1323",37.64487804,119.518736,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,104,NA,0.5,NA
"YOSE","N138",37.66361302,119.569245,"CA","USA","Mariposa","Illilouette basin",NA,NA,"LOW",20,NA,7,NA
"YOSE","P11",37.68295644,119.5075144,"CA","USA","Mariposa","Illilouette basin",0.448925839,1,NA,190,"P",24,NA
"YOSE","P110",37.67698048,119.534546,"CA","USA","Mariposa","Illilouette basin",0.144158248,1,"MOD",358,"P",19,NA
"YOSE","P12",37.68298636,119.5052591,"CA","USA","Mariposa","Illilouette basin",0.574419527,1,NA,204,"P",12,NA
"YOSE","P13",37.68664146,119.5007558,"CA","USA","Mariposa","Illilouette basin",0.707289485,1,NA,239,"P",25,NA
"YOSE","P14",37.68672343,119.4985927,"CA","USA","Mariposa","Illilouette basin",0.707466283,1,NA,280,"P",12,NA
"YOSE","P15",37.68852697,119.4985286,"CA","USA","Mariposa","Illilouette basin",0.462481179,1,NA,187,"P",10,NA
"YOSE","P16",37.66981571,119.5274549,"CA","USA","Mariposa","Illilouette basin",0.127629705,1,"UNCHANGED",358,"P",37,NA
"YOSE","P17",37.67163794,119.5298861,"CA","USA","Mariposa","Illilouette basin",0.075274886,1,"UNCHANGED",6,"P",22,NA
"YOSE","P18",37.67518063,119.5344393,"CA","USA","Mariposa","Illilouette basin",0.007078652,1,"LOW",15,"P",22,NA
"YOSE","P19",37.67530468,119.5320174,"CA","USA","Mariposa","Illilouette basin",-0.075654176,1,"LOW",27,"P",23,NA
"YOSE","P21",37.67978179,119.4846634,"CA","USA","Mariposa","Illilouette basin",0.758552425,2,"HIGH",275,"P",7,NA
"YOSE","P210",37.68921554,119.466699,"CA","USA","Mariposa","Illilouette basin",0.100062763,2,NA,145,"P",14,NA
"YOSE","P22",37.67973863,119.4824397,"CA","USA","Mariposa","Illilouette basin",0.623429702,2,"MOD",298,"P",12,NA
"YOSE","P23",37.67975103,119.4801385,"CA","USA","Mariposa","Illilouette basin",0.557243386,2,"UNCHANGED",308,"P",13,NA
"YOSE","P25",37.68337428,119.484806,"CA","USA","Mariposa","Illilouette basin",0.755186154,2,"HIGH",250,"P",11,NA
"YOSE","P26",37.68199721,119.4688636,"CA","USA","Mariposa","Illilouette basin",0.389982307,2,"LOW",182,"P",21,NA
"YOSE","P27",37.68378968,119.466746,"CA","USA","Mariposa","Illilouette basin",-0.101326424,2,"LOW",118,"P",20,NA
"YOSE","P28",37.68548358,119.4667568,"CA","USA","Mariposa","Illilouette basin",-0.163181156,2,"LOW",90,"P",8,NA
"YOSE","P29",37.68748417,119.466755,"CA","USA","Mariposa","Illilouette basin",-0.136715194,2,NA,112,"P",22,NA
"YOSE","P32",37.68512869,119.4870756,"CA","USA","Mariposa","Illilouette basin",0.800629884,3,"HIGH",254,"P",6,NA
"YOSE","P34",37.68694648,119.4871931,"CA","USA","Mariposa","Illilouette basin",0.457621983,3,"LOW",183,"P",7,NA
"YOSE","P35",37.68688554,119.4849572,"CA","USA","Mariposa","Illilouette basin",0.710150679,3,"LOW",228,"P",10,NA
"YOSE","P36",37.66514372,119.4955109,"CA","USA","Mariposa","Illilouette basin",0.515933494,3,"LOW",318,"P",8,NA
"YOSE","P38",37.66693267,119.497838,"CA","USA","Mariposa","Illilouette basin",0.717489286,3,"MOD",280,"P",10,NA
"YOSE","P39",37.66689956,119.4955697,"CA","USA","Mariposa","Illilouette basin",0.043197697,3,"MOD",16,"P",9,NA
"YOSE","P41",37.66887132,119.488834,"CA","USA","Mariposa","Illilouette basin",0.712038592,4,"LOW",230,"P",11,NA
"YOSE","P44",37.67241636,119.4912198,"CA","USA","Mariposa","Illilouette basin",0.74608257,4,"UNCHANGED",270,"P",10,NA
"YOSE","P45",37.6724835,119.488898,"CA","USA","Mariposa","Illilouette basin",0.730897351,4,"LOW",232,"P",9,NA
"YOSE","R210",37.65370511,119.5223408,"CA","USA","Mariposa","Illilouette basin",0.357659572,2,"UNCHANGED",330,"R",45,NA
"YOSE","R212",37.66403924,119.4614669,"CA","USA","Mariposa","Illilouette basin",0.710573059,2,"LOW",240,"R",24,NA
"YOSE","R213",37.66596741,119.4614739,"CA","USA","Mariposa","Illilouette basin",0.708016842,2,"LOW",247,"R",53,NA
"YOSE","R29",37.65368583,119.5245049,"CA","USA","Mariposa","Illilouette basin",0.256106847,2,"HIGH",346,"R",14,NA
"YOSE","W01",37.68020868,119.5528193,"CA","USA","Mariposa","Illilouette basin",-0.091583219,0,"HIGH",28,"W",35,NA
"YOSE","W02",37.68017641,119.5505619,"CA","USA","Mariposa","Illilouette basin",0.49994684,0,"MOD",198,"W",34,NA
"YOSE","W03",37.68206729,119.5481323,"CA","USA","Mariposa","Illilouette basin",-0.079159939,0,"HIGH",32,"W",12,NA
"YOSE","W11",37.676725,119.5434825,"CA","USA","Mariposa","Illilouette basin",0.042268857,1,"MOD",8,"W",54,NA
"YOSE","W12",37.67680278,119.541127,"CA","USA","Mariposa","Illilouette basin",0.007036058,1,"MOD",13,"W",44,NA
"YOSE","W13",37.67682139,119.5390075,"CA","USA","Mariposa","Illilouette basin",0.001527324,1,"MOD",14,"W",39,NA
"YOSE","W14",37.67861118,119.5412567,"CA","USA","Mariposa","Illilouette basin",0.11691233,1,"HIGH",360,"W",28,NA
"YOSE","W15",37.67854177,119.5390435,"CA","USA","Mariposa","Illilouette basin",0.227523449,1,"MOD",347,"W",25,NA
"YOSE","W210",37.66116139,119.5111787,"CA","USA","Mariposa","Illilouette basin",0.429259382,2,"LOW",321,"W",44,NA
"YOSE","W211",37.6628268,119.5159051,"CA","USA","Mariposa","Illilouette basin",0.591404863,2,"LOW",306,"W",9,NA
"YOSE","W22",37.66566013,119.4705665,"CA","USA","Mariposa","Illilouette basin",0.595777915,2,"HIGH",302,"W",13,NA
"YOSE","W23",37.66574638,119.4660124,"CA","USA","Mariposa","Illilouette basin",0.673112222,2,"MOD",285,"W",17,NA
"YOSE","W24",37.66582911,119.4637819,"CA","USA","Mariposa","Illilouette basin",0.748178408,2,"LOW",269,"W",10,NA
"YOSE","W25",37.66754639,119.4708558,"CA","USA","Mariposa","Illilouette basin",0.747432557,2,"LOW",259,"W",13,NA
"YOSE","W26",37.66763633,119.4661316,"CA","USA","Mariposa","Illilouette basin",0.714267932,2,"MOD",270,"W",21,NA
"YOSE","W27",37.65923297,119.5179373,"CA","USA","Mariposa","Illilouette basin",0.366775452,2,"UNCHANGED",329,"W",42,NA
"YOSE","W28",37.65924512,119.5156821,"CA","USA","Mariposa","Illilouette basin",0.359041445,2,"UNCHANGED",330,"W",41,NA
"YOSE","W29",37.6610723,119.5157778,"CA","USA","Mariposa","Illilouette basin",0.419132686,2,"LOW",324,"W",23,NA
"YOSE","L21",37.67277762,119.4753601,"CA","USA","Mariposa","Illilouette basin",0.756157095,2,"MOD",280,"L",6,"Hoover"
"YOSE","L24",37.67617162,119.4845089,"CA","USA","Mariposa","Illilouette basin",0.603939132,2,"HIGH",307,"L",7,"Hoover"
"YOSE","L33",37.67953067,119.4982493,"CA","USA","Mariposa","Illilouette basin",0.442353546,3,"LOW",322,"L",18,"Hoover"
"YOSE","L35",37.68318501,119.4916368,"CA","USA","Mariposa","Illilouette basin",0.606393934,3,"MOD",333,"L",2,"Hoover"
"YOSE","N131",37.67534902,119.526569,"CA","USA","Mariposa","Illilouette basin",NA,1,"LOW",4,NA,1,"Meadow"
"YOSE","N132",37.680508,119.538082,"CA","USA","Mariposa","Illilouette basin",NA,1,"MOD",309,NA,11,"Meadow"
"YOSE","N133",37.68001799,119.560741,"CA","USA","Mariposa","Illilouette basin",NA,2,"HIGH",16,NA,21,"Meadow"
"YOSE","N134",37.67451704,119.565087,"CA","USA","Mariposa","Illilouette basin",NA,1,"MOD",270,NA,17,"Meadow"
"YOSE","N135",37.67802,119.569742,"CA","USA","Mariposa","Illilouette basin",NA,1,"MOD",50,NA,13,"Meadow"
"YOSE","N136",37.67256799,119.571822,"CA","USA","Mariposa","Illilouette basin",NA,1,"LOW",60,NA,4,"Meadow"
"YOSE","N137",37.66906503,119.567166,"CA","USA","Mariposa","Illilouette basin",NA,1,"HIGH",260,NA,14,"Meadow"
"YOSE","N139",37.68352096,119.565397,"CA","USA","Mariposa","Illilouette basin",NA,1,"LOW",340,NA,30,"Meadow"
"YOSE","P24",37.68180787,119.4778827,"CA","USA","Mariposa","Illilouette basin",0.692245387,2,"LOW",226,"P",12,"Hoover"
"YOSE","P310",37.67046212,119.4979791,"CA","USA","Mariposa","Illilouette basin",0.688347932,3,"HIGH",284,"P",13,"Hoover"
"YOSE","P33",37.6851675,119.4848092,"CA","USA","Mariposa","Illilouette basin",0.750642117,3,"HIGH",250,"P",12,"Hoover"
"YOSE","P37",37.66518261,119.493245,"CA","USA","Mariposa","Illilouette basin",0.135219167,3,"LOW",5,"P",8,"Horizon"
"YOSE","P43",37.67068198,119.4888605,"CA","USA","Mariposa","Illilouette basin",0.75194423,4,"LOW",243,"P",10,"Horizon"
"YOSE","W04",37.68207584,119.546069,"CA","USA","Mariposa","Illilouette basin",0.412571261,0,"HIGH",328,"W",12,"Meadow"
