Site,Date,FieldPlantSp,PlantSp,BloomStatus,NumFlower,Collector
L33,7/31/2013,GAYERI,Gayophytum eriospermum,FULL,1,CRP
L33,6/29/2013,LUPBRE,Lupinus breweri var. breweri,FULL,2,CRP
L33,7/13/2013,LUPBRE,Lupinus breweri var. breweri,FINISHING,2,GH
L33,7/19/2013,LUPBRE,Lupinus breweri var. breweri,FINISHING,1,LCP
L33,7/31/2013,LUPBRE,Lupinus breweri var. breweri,NOT BLOOMING,0,CRP
L33,6/29/2013,MONODO,Monardella odoratissima ssp. pallida,FULL,2,CRP
L33,7/13/2013,MONODO,Monardella odoratissima ssp. pallida,FULL,2,GH
L33,7/19/2013,MONODO,Monardella odoratissima ssp. pallida,FINISHING,2,LCP
L33,7/31/2013,MONODO,Monardella odoratissima ssp. pallida,NOT BLOOMING,0,CRP
L33,6/29/2013,PHAHAS,Phacelia hastata ssp. compacta,FINISHING,2,CRP
L33,7/13/2013,PHAHAS,Phacelia hastata ssp. compacta,FINISHING,1,GH
L33,7/19/2013,PHAHAS,Phacelia hastata ssp. compacta,NOT BLOOMING,0,LCP
L33,7/31/2013,PHAHAS,Phacelia hastata ssp. compacta,NOT BLOOMING,0,CRP
L33,6/29/2013,ERIBRE,Erigeron brewerii var. brewerii,FULL,2,CRP
L33,7/13/2013,ERIBRE,Erigeron brewerii var. brewerii,FINISHING,2,GH
L33,7/19/2013,ERIBRE,Erigeron brewerii var. brewerii,FINISHING,2,LCP
L33,7/31/2013,ERIBRE,Erigeron brewerii var. brewerii,NOT BLOOMING,0,CRP
L35,6/27/2013,Delphinium sp.,Delphinium sp.,FULL,1,LCP
L35,7/13/2013,Delphinium sp.,Delphinium sp.,NOT BLOOMING,0,SH
L35,7/18/2013,Delphinium sp.,Delphinium sp.,NOT BLOOMING,0,CRP
L35,7/29/2013,Delphinium sp.,Delphinium sp.,NOT BLOOMING,0,LCP
L35,6/27/2013,ACHMIL,Achillea millefolium,FULL,3,LCP
L35,7/13/2013,ACHMIL,Achillea millefolium,FULL,3,SH
L35,7/18/2013,ACHMIL,Achillea millefolium,FULL,3,CRP
L35,7/29/2013,ACHMIL,Achillea millefolium,FINISHING,2,LCP
L35,6/27/2013,CIRAND,Cirsium andersonii,NOT BLOOMING,0,LCP
L35,7/13/2013,CIRAND,Cirsium andersonii,NOT BLOOMING,0,SH
L35,7/18/2013,CIRAND,Cirsium andersonii,BEGINNING,1,CRP
L35,7/29/2013,CIRAND,Cirsium andersonii,NOT BLOOMING,0,LCP
L35,6/27/2013,EPIANG,Epilobium angustifloium ssp. circumvagum,NOT BLOOMING,0,LCP
L35,7/13/2013,EPIANG,Epilobium angustifloium ssp. circumvagum,BEGINNING,2,SH
L35,7/18/2013,EPIANG,Epilobium angustifloium ssp. circumvagum,FULL,2,CRP
L35,7/29/2013,EPIANG,Epilobium angustifloium ssp. circumvagum,FULL,2,LCP
L35,6/27/2013,ERIBRE,Erigeron brewerii var. brewerii,BEGINNING,1,LCP
L35,7/13/2013,ERIBRE,Erigeron brewerii var. brewerii,FULL,2,SH
L35,7/18/2013,ERIBRE,Erigeron brewerii var. brewerii,FULL,2,CRP
L35,7/29/2013,ERIBRE,Erigeron brewerii var. brewerii,FULL,2,LCP
L35,6/27/2013,GAYDIF,Gayophytum diffusum ,FULL,2,LCP
L35,7/13/2013,GAYDIF,Gayophytum diffusum ,FULL,2,SH
L35,7/18/2013,GAYDIF,Gayophytum diffusum ,FULL,2,CRP
L35,7/29/2013,GAYDIF,Gayophytum diffusum ,FULL,2,LCP
L35,6/27/2013,HORTRI,Horkelia fusca ,FULL,2,LCP
L35,7/13/2013,HORTRI,Horkelia fusca ,FULL,2,SH
L35,7/18/2013,HORTRI,Horkelia fusca ,FULL,2,CRP
L35,7/29/2013,HORTRI,Horkelia fusca ,FINISHING,1,LCP
