Site,Date,FieldPlantSp,PlantSp,BloomStatus,NumFlower,Collector,SampleRound,Year
N137,7/26/13,APOAND,Apocynum androsaemifolium,finishing,2,CRP,4,2013
N137,6/19/14,APOAND,Apocynum androsaemifolium,not blooming,0,LCP/KAK,1,2014
N137,7/7/14,APOAND,Apocynum androsaemifolium,full bloom,2,LTC,2,2014
N137,7/10/14,APOAND,Apocynum androsaemifolium,full bloom,2,LTC,3,2014
N137,7/19/14,APOAND,Apocynum androsaemifolium,full bloom,3,LTC,4,2014
N139,7/9/13,APOAND,Apocynum androsaemifolium,beginning to bloom,1,LCP,1,2013
N139,7/12/13,APOAND,Apocynum androsaemifolium,full,3,CRP,2,2013
N139,7/24/13,APOAND,Apocynum androsaemifolium,finishing,2,GH,3,2013
N139,7/26/13,APOAND,Apocynum androsaemifolium,finishing,2,GH,4,2013
N139,6/18/14,APOAND,Apocynum androsaemifolium,full bloom,1,JPS,1,2014
N139,7/6/14,APOAND,Apocynum androsaemifolium,full bloom,2,LTC,2,2014
N139,7/9/14,APOAND,Apocynum androsaemifolium,full bloom,2,LTC,3,2014
N139,7/18/14,APOAND,Apocynum androsaemifolium,full bloom,2,LCP,4,2014
P24,6/27/13,APOAND,Apocynum androsaemifolium,not blooming,0,CC,1,2013
P24,7/13/13,APOAND,Apocynum androsaemifolium,not blooming,0,CRP,2,2013
P24,7/19/13,APOAND,Apocynum androsaemifolium,not blooming,0,CRP,3,2013
P24,7/29/13,APOAND,Apocynum androsaemifolium,not blooming,0,GH,4,2013
P24,6/12/14,APOAND,Apocynum androsaemifolium,not blooming,0,JPS,1,2014
P24,6/23/14,APOAND,Apocynum androsaemifolium,not blooming,0,KK,2,2014
P24,7/2/14,APOAND,Apocynum androsaemifolium,not blooming,0,KK,3,2014
P24,7/13/14,APOAND,Apocynum androsaemifolium,not blooming,0,MRM,4,2014
P310,6/29/13,APOAND,Apocynum androsaemifolium,not blooming,0,LCP,1,2013
P310,7/13/13,APOAND,Apocynum androsaemifolium,finishing,3,BES,2,2013
