"Family","Genus","SubGenus","Species","SubSpecies","Sociality","NestLoc","Excavate","Lecty","Wood","FireKill","Notes","Reference","GenusSpecies","PolSpec","PolSpec.2013","PolSpec.2014","YoseSpec"
"Andrenidae","Andrena","Thysandrena","knuthiana","","solitary","below","ex","polylectic","no","no","","","Andrena knuthiana",0.187082678915766,NA,0.142935640538372,0.0571940375758794
"Andrenidae","Andrena","Thysandrena","medionitens","","solitary","below","ex",NA,"no","no","","","Andrena medionitens",0.185958800695236,0.264494732833261,0.142935640538372,0.497668628257622
"Andrenidae","Andrena","Thysandrena","w-scripta","","solitary","below","ex","polylectic","no","no","","","Andrena w-scripta",0.0238149606361634,0.0114959019268871,NA,0.449179638546406
"Andrenidae","Andrena","Trachandrena","cleodora","","solitary","below","ex",NA,"no","no","","","Andrena cleodora",0.669970048269395,0.778371980519143,0.558742068447946,0.242589709327927
"Andrenidae","Andrena","Trachandrena","quintiliformis","","solitary","below","ex",NA,"no","no","","","Andrena quintiliformis",0.270696664092008,0.287943340167141,0.142935640538372,0.319972965349586
"Andrenidae","Andrena","","sp.","a","solitary","below","ex",NA,"no","no","","","Andrena sp. a",NA,NA,NA,0.449179638546406
"Andrenidae","Andrena","","sp.","b","solitary","below","ex",NA,"no","no","","","Andrena sp. b",NA,NA,NA,0.449179638546406
"Andrenidae","Calliopsis","Nomadopsis","edwardsii","","solitary","below","ex",NA,"no","no","","","Calliopsis edwardsii",0.483407380387033,0.533328241740206,0.507424169126069,0.51900334507842
"Andrenidae","Perdita","","sp.","a.","solitary","below","ex",NA,"no","no","","","Perdita sp. a.",0.460737402565453,0.398266864747773,0.630263369017619,0.521060008378788
"Apidae","Anthophora","Clisodon","terminalis","","solitary","above","ex","polylectic","yes","yes","","","Anthophora terminalis",0.6228041285682,0.713571898782761,0.439963941196193,0.357043609951978
"Apidae","Anthophora","Heliophila","exigua","","solitary","below","ex","polylectic","no","no","","","Anthophora exigua",0.397454687451437,0.389258602850892,0.499784962675306,0.336302517459334
"Apidae","Anthophora","Heliophila","flexipes","","solitary","below","ex","polylectic","no","no","","","Anthophora flexipes",0.315236513641465,0.310481662951883,0.345248198603948,0.336302517459334
"Apidae","Anthophora","Mystacanthophora","urbana","","solitary","below","ex","polylectic","no","no","","","Anthophora urbana",0.18222522714098,0.211884934308403,0.199673071980146,0.244168980115169
"Apidae","Apis","Apis","mellifera","","social","mix","rent","polylectic","yes","yes","","","Apis mellifera",0.239599056106398,0.215427849550158,0.369294629184394,0.411219204784791
"Apidae","Bombus","Bombus","bifarius","","social","mix","rent","polylectic","yes","yes","","","Bombus bifarius",0.199020521763419,0.202632974111278,0.160284029314988,0.427109333266368
"Apidae","Bombus","Bombus","melanopygus","","social","mix","rent","polylectic","yes","yes","","","Bombus melanopygus",0.297093957281221,0.126323670811442,0.310365462357348,0.271791900626408
"Apidae","Bombus","Bombus","mixtus","","social","mix","rent",NA,"yes","yes","","","Bombus mixtus",0.464574184340684,0.382554081245519,0.682756563673074,0.359959928885588
"Apidae","Bombus","Bombus","vandykei","","social","mix","rent","polylectic","yes","yes","","","Bombus vandykei",0.527328525596108,0.49863333215052,0.727458199141768,0.343185641624142
"Apidae","Bombus","Bombus","vosnesenskii","","social","below","rent","polylectic","no","yes","check with Robbin","","Bombus vosnesenskii",0.265404985241892,0.231748700062923,0.4669784206732,0.317291036538538
"Apidae","Bombus","Psithyrus","fernaldae","","parasite","mix","rent",NA,"yes","yes","","","Bombus fernaldae",0.282967110231222,0.274257423391365,NA,0.315218516873092
"Apidae","Bombus","Psithyrus","insularis","","parasite","mix","rent",NA,"yes","yes","","","Bombus insularis",0.240077810703872,0.245913775229502,0.178043491367409,0.392024790829095
