Family,Genus,SubGenus,Species,SubSpecies,ReproStrat,Sociality,NestLoc,Excavate,Lecty,Wood,FireKill,Notes,Reference
Megachilidae,Heriades,Neotrypetes,cressoni,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Hoplitis,Alcidamea,producta,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Hoplitis,Alcidamea,uvulalis,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Hoplitis,Monumetha,albifrons,maura,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Hoplitis,Monumetha,albifrons,albifrons,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Hoplitis,Monumetha,fulgida,platyura,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Megachile,Chelostomoides,angelarum,,free living,solitary,above,rent,polylectic,yes,yes,,
Megachilidae,Megachile,Litomegachile,gentilis,,free living,solitary,above,rent,polylectic,yes,yes,,
Megachilidae,Megachile,Litomegachile,texana,,free living,solitary,below,rent,polylectic,yes,yes,,
Megachilidae,Megachile,Megachile,montivaga,,free living,solitary,above,rent,polylectic,yes,yes,,
Megachilidae,Megachile,Megachile,relativa,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Megachile,Megachiloides,wheeleri,,free living,solitary,ground,ex,NA,no,yes,,Gordon 2000
Megachilidae,Megachile,Sayapis,fidelis,,free living,solitary,above,rent,polylectic,yes,yes,,
Megachilidae,Megachile,Sayapis,pugnata,pomona,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Megachile,Xanthosarus,frigida,,free living,solitary,mix,ex,NA,no,yes,,Stephen 1956; Pengelly 1955
Megachilidae,Megachile,Xanthosarus,gemula,cressonii,free living,solitary,above,rent,NA,yes,yes,,Fye 1965; Medler & Lussenhop 1968
Megachilidae,Megachile,Xanthosarus,melanophaea,,free living,solitary,below,rent,NA,yes,yes,,Graenicher 1905; Pengelly 1955
Megachilidae,Megachile,Xanthosarus,perihirta,,free living,solitary,below,ex,NA,no,yes,,Hicks 1926 & 1936; Hobbs 1957
Megachilidae,Osmia,Cephalosmia,montana,quadriceps,free living,solitary,above,rent,NA,yes,yes,,Cane 2007
Megachilidae,Osmia,Cephalosmia,subaustralis,,free living,solitary,above,rent,NA,yes,yes,Wood,Cane 2007
Megachilidae,Osmia,Helicosmia,coloradensis,,free living,solitary,above,rent,oligolectic,yes,yes,,Cane 2007
Megachilidae,Osmia,Helicosmia,texana,,free living,solitary,mix,rent,oligolectic,yes,yes,"Nests, wood, stem",Cane 2007
Megachilidae,Osmia,Melanosmia,aglaia,,free living,solitary,above,rent,polylectic,yes,yes,,Cane 2007; Cane 2005b
Megachilidae,Osmia,Melanosmia,albolateralis,,free living,solitary,above,rent,NA,yes,yes,Stem,Cane 2007
Megachilidae,Osmia,Melanosmia,atrocyanea,,free living,solitary,above,rent,polylectic,yes,yes,,
Megachilidae,Osmia,Melanosmia,bakeri,,free living,solitary,above,rent,oligolectic,yes,yes,Wood; stem,Cane 2007
Megachilidae,Osmia,Melanosmia,brevis,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,bruneri,,free living,solitary,above,rent,NA,yes,yes,"Wood, stem, nests",Cane 2007
Megachilidae,Osmia,Melanosmia,californica,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,calla,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,cara,,free living,solitary,above,rent,polylectic,yes,yes,,
Megachilidae,Osmia,Melanosmia,cobaltina,,free living,solitary,above,rent,NA,yes,yes,Stem,Cane 2007
Megachilidae,Osmia,Melanosmia,cyanella,,free living,solitary,above,rent,polylectic,yes,yes,"Wood, stem",Cane 2007
Megachilidae,Osmia,Melanosmia,cyanopoda,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,densa,,free living,solitary,above,rent,NA,yes,yes,Wood,Cane 2007
Megachilidae,Osmia,Melanosmia,ednae,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,exigua,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,giffardi,,free living,solitary,below,ex,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,grindeliae,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,juxta,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,kincadii,,free living,solitary,above,rent,NA,yes,yes,"Wood, stem",Cane 2007
Megachilidae,Osmia,Melanosmia,laeta,,free living,solitary,above,rent,polylectic,yes,yes,Stem,Cane 2007
Megachilidae,Osmia,Melanosmia,malina,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,nifoata,,free living,solitary,below,ex,NA,no,yes,"Soil, Shallow subterranean",Cane 2007
Megachilidae,Osmia,Melanosmia,paradisica,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,pentstemonis,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,phaceliae,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,pikei,,free living,solitary,above,rent,NA,yes,yes,"Wood, stem",
Megachilidae,Osmia,Melanosmia,proxima,aff.,free living,solitary,above,rent,NA,yes,yes,"Wood, stem",Cane 2007
Megachilidae,Osmia,Melanosmia,pusilla,,free living,solitary,above,rent,polylectic,yes,yes,"Wood, stem",Cane 2007
Megachilidae,Osmia,Melanosmia,sp.,Y4,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,trevoris,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Osmia,Melanosmia,tristella,,free living,solitary,above,rent,NA,yes,yes,"Wood, stem",Cane 2007
Megachilidae,Osmia,Melanosmia,visenda,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Stelis,Dolichostelis,laticincta,,parasite,solitary,above,rent,NA,yes,yes,,
Megachilidae,Stelis,Stelis,calliphorina,,parasite,solitary,above,rent,NA,yes,yes,,
Megachilidae,Stelis,Stelis,carnifex,,parasite,solitary,above,rent,NA,yes,yes,,
Megachilidae,Stelis,Stelis,holocyanea,,parasite,solitary,above,rent,NA,yes,yes,,
Megachilidae,Stelis,Stelis,incisa,new sp.,parasite,solitary,above,rent,NA,yes,yes,,
Megachilidae,Stelis,Stelis,montana,,parasite,solitary,above,rent,NA,yes,yes,,
Megachilidae,Stelis,Stelis,monticola,,parasite,solitary,NA,NA,NA,yes,yes,,
Megachilidae,Stelis,Stelis,occidentalis,,parasite,solitary,above,rent,NA,yes,yes,,
Megachilidae,Stelis,Stelis,sp.,b,parasite,solitary,NA,NA,NA,yes,yes,,
Colletidae,Hylaeus,,spp.,small,free living,solitary,above,rent,NA,yes,yes,,
Colletidae,Hylaeus,,spp.,big,free living,solitary,above,rent,NA,yes,yes,,
