"Site","Date","BloomStatus","FlowerNum","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies","Year","doy","Occ","logFlowerNum","PlantGenusSpecies","SiteStatus"
"N136",2013-07-26,"finishing bloom",3,"Aconitum","columbianum","","","2013",207,1,100,"Aconitum columbianum","LOW"
"N136",2014-06-17,"beginning to bloom to bloom",2,"Aconitum","columbianum","","","2014",168,1,10,"Aconitum columbianum","LOW"
"N136",2014-07-07,"full bloom",3,"Aconitum","columbianum","","","2014",188,1,100,"Aconitum columbianum","LOW"
"N136",2014-07-10,"full bloom",4,"Aconitum","columbianum","","","2014",191,1,1000,"Aconitum columbianum","LOW"
"N136",2014-07-17,"full bloom",3,"Aconitum","columbianum","","","2014",198,1,100,"Aconitum columbianum","LOW"
"L21",2014-06-12,"not blooming",0,"Agoseris","grandiflora","","","2014",163,0,0,"Agoseris grandiflora","MOD"
"L21",2014-06-22,"not blooming",0,"Agoseris","grandiflora","","","2014",173,0,0,"Agoseris grandiflora","MOD"
"L21",2014-07-03,"finishing bloom",1,"Agoseris","grandiflora","","","2014",184,1,1,"Agoseris grandiflora","MOD"
"L21",2014-07-13,"not blooming",0,"Agoseris","grandiflora","","","2014",194,0,0,"Agoseris grandiflora","MOD"
"N131",2013-06-30,"full bloom",2,"Apocynum","androsaemifolium","","","2013",181,1,10,"Apocynum androsaemifolium","LOW"
"N131",2013-07-14,"full bloom",3,"Apocynum","androsaemifolium","","","2013",195,1,100,"Apocynum androsaemifolium","LOW"
"N131",2013-07-20,"full bloom",3,"Apocynum","androsaemifolium","","","2013",201,1,100,"Apocynum androsaemifolium","LOW"
"N131",2013-08-01,"finishing bloom",3,"Apocynum","androsaemifolium","","","2013",213,1,100,"Apocynum androsaemifolium","LOW"
"N131",2014-06-14,"not blooming",0,"Apocynum","androsaemifolium","","","2014",165,0,0,"Apocynum androsaemifolium","LOW"
"N131",2014-06-25,"beginning to bloom to bloom",2,"Apocynum","androsaemifolium","","","2014",176,1,10,"Apocynum androsaemifolium","LOW"
"N131",2014-07-04,"full bloom",3,"Apocynum","androsaemifolium","","","2014",185,1,100,"Apocynum androsaemifolium","LOW"
"N131",2014-07-14,"full bloom",4,"Apocynum","androsaemifolium","","","2014",195,1,1000,"Apocynum androsaemifolium","LOW"
"N133",2013-07-08,"full bloom",5,"Apocynum","androsaemifolium","","","2013",189,1,10000,"Apocynum androsaemifolium","HIGH"
"N133",2013-07-11,"full bloom",5,"Apocynum","androsaemifolium","","","2013",192,1,10000,"Apocynum androsaemifolium","HIGH"
"N133",2013-07-23,"finishing bloom",4,"Apocynum","androsaemifolium","","","2013",204,1,1000,"Apocynum androsaemifolium","HIGH"
"N133",2013-07-25,"finishing bloom",4,"Apocynum","androsaemifolium","","","2013",206,1,1000,"Apocynum androsaemifolium","HIGH"
"N133",2014-06-18,"beginning to bloom to bloom",2,"Apocynum","androsaemifolium","","","2014",169,1,10,"Apocynum androsaemifolium","HIGH"
"N133",2014-07-07,"full bloom",4,"Apocynum","androsaemifolium","","","2014",188,1,1000,"Apocynum androsaemifolium","HIGH"
"N133",2014-07-10,"full bloom",3,"Apocynum","androsaemifolium","","","2014",191,1,100,"Apocynum androsaemifolium","HIGH"
"N133",2014-07-18,"full bloom",2,"Apocynum","androsaemifolium","","","2014",199,1,10,"Apocynum androsaemifolium","HIGH"
"N135",2013-07-08,"beginning to bloom",2,"Apocynum","androsaemifolium","","","2013",189,1,10,"Apocynum androsaemifolium","MOD"
"N135",2013-07-11,"beginning to bloom",2,"Apocynum","androsaemifolium","","","2013",192,1,10,"Apocynum androsaemifolium","MOD"
"N135",2013-07-22,"finishing bloom",1,"Apocynum","androsaemifolium","","","2013",203,1,1,"Apocynum androsaemifolium","MOD"
"N135",2013-07-25,"finishing bloom",1,"Apocynum","androsaemifolium","","","2013",206,1,1,"Apocynum androsaemifolium","MOD"
"N135",2014-06-18,"not blooming",0,"Apocynum","androsaemifolium","","","2014",169,0,0,"Apocynum androsaemifolium","MOD"
