Genus,Subgenus,Species,Subspecies,Sex,GenSp
Dioxys,,aurifusca,,m,Dioxys aurifusca 
Dioxys,,pacifica,pacifica,m,Dioxys pacifica pacifica
Dioxys,,pomonae,pomonae,m,Dioxys pomonae pomonae
Dioxys,,producta,cismontanica,m,Dioxys producta cismontanica
Dufourea,,bernardina,,m,Dufourea bernardina 
Dufourea,,calochorti,,m,Dufourea calochorti 
Dufourea,,cuprea,,m,Dufourea cuprea 
Dufourea,,femorata,,m,Dufourea femorata 
Dufourea,,fimbriata,,m,Dufourea fimbriata 
Dufourea,,holocyanea,,m,Dufourea holocyanea 
Dufourea,,nemophilae,,m,Dufourea nemophilae 
Dufourea,,neospinifera,,m,Dufourea neospinifera 
Dufourea,,pectinipes,,m,Dufourea pectinipes 
Dufourea,,spilura,,m,Dufourea spilura 
Dufourea,,subdavidsoni,,m,Dufourea subdavidsoni 
Dufourea,,trochantera,,m,Dufourea trochantera 
Dufourea,,versatilis,rubriventris,m,Dufourea versatilis rubriventris
Epeolus,,americanus,,m,Epeolus americanus 
Epeolus,,compactus,,m,Epeolus compactus 
Epeolus,,minimus,,m,Epeolus minimus 
Eucera,(Synhalonia),acerba,,m,Eucera acerba 
Eucera,(Synhalonia),actuosa,,m,Eucera actuosa 
Eucera,(Synhalonia),edwardsii,,m,Eucera edwardsii 
Eucera,(Synhalonia),frater,albopilosa,m,Eucera frater albopilosa
Eucera,(Synhalonia),lunata,,m,Eucera lunata 
Eucera,(Synhalonia),venusta,carinata,m,Eucera venusta carinata
Habropoda,,dammersi,,m,Habropoda dammersi 
Habropoda,,depressa,,m,Habropoda depressa 
Habropoda,,tristissima,,m,Habropoda tristissima 
Halictus,(Halictus),farinosus,,m,Halictus farinosus 
Halictus,(Halictus),ligatus,,m,Halictus ligatus 
Halictus,(Halictus),rubicundus,,m,Halictus rubicundus 
Halictus,(Seladonia),tripartitus,,m,Halictus tripartitus 
Heriades,(Neotrypetes),cressoni,,m,Heriades cressoni 
Hesperapis,(Panurgomia),regularis,,m,Hesperapis regularis 
Hoplitis,(Acrosmia),laevibullata,,m,Hoplitis laevibullata 
Hoplitis,(Alcidamea),colei,,m,Hoplitis colei 
Hoplitis,(Alcidamea),grinnelli,,m,Hoplitis grinnelli 
Hoplitis,(Alcidamea),producta,bernardina,m,Hoplitis producta bernardina
Hoplitis,(Alcidamea),producta,gracilis,m,Hoplitis producta gracilis
Hoplitis,(Alcidamea),sambuci,,m,Hoplitis sambuci 
Hoplitis,(Alcidamea),uvulalis,,m,Hoplitis uvulalis 
Hoplitis,(Cyrtosmia),hypocrita,,m,Hoplitis hypocrita 
Hoplitis,(Hoplitina),linsdalei,,m,Hoplitis linsdalei 
Hoplitis,(Monumetha),albifrons,maura,m,Hoplitis albifrons maura
Hoplitis,(Monumetha),fulgida,platyura,m,Hoplitis fulgida platyura
Hoplitis,(Proteriades),nanula,sparsa,m,Hoplitis nanula sparsa
Hoplitis,(Proteriades),seminigra,,m,Hoplitis seminigra 
Hylaeus,(Cephalylaeus),basalis,,m,Hylaeus basalis 
Hylaeus,(Cephalylaeus),nunenmacheri,,m,Hylaeus nunenmacheri 
Hylaeus,(Hylaeus),annulatus,,m,Hylaeus annulatus 
Hylaeus,(Hylaeus),granulatus,,m,Hylaeus granulatus 
Hylaeus,(Hylaeus),mesillae,cressoni,m,Hylaeus mesillae cressoni
