Park,Site,Year,Shannon,Evenness,Simpson,invSimpson,Richness,Richness_SAS
SEQI,W4-5,2002,0,0,0,1,1,10
SEQI,W4-5,2014,1.342372313,0.834062813,0.696844993,3.298642534,5,11
YOSE,HZ1-1,2013,0.984531925,0.448079789,0.434414039,1.768077833,9,19
YOSE,HZ4-1,2013,1.205359989,0.672724219,0.609359508,2.559898477,6,26
YOSE,HZ7-1,2013,0.911192177,0.508546037,0.474837106,1.904171088,6,6
YOSE,HZ8-1,2013,1.557110508,0.74881187,0.754813416,4.078526575,8,7
YOSE,L2-1,2002,0.948587532,0.589390572,0.450413223,1.819548872,5,28
YOSE,L2-1,2013,0.817412403,0.456206548,0.396627649,1.657351382,6,37
YOSE,L2-3,2002,1.159588814,0.72049304,0.561983471,2.283018868,5,28
YOSE,L2-3,2013,1.0241784,0.466123678,0.448776479,1.814146099,9,22
YOSE,L2-4,2002,0.500402424,0.721928095,0.32,1.470588235,2,15
YOSE,L2-4,2013,1.27609907,0.532174647,0.583805751,2.402724214,11,42
YOSE,L2-5,2013,0.879845781,0.49105128,0.497401653,1.989660344,6,20
YOSE,L3-1,2002,0,0,0,1,1,13
YOSE,L3-1,2013,1.002279092,0.559382612,0.54335852,2.189901802,6,18
YOSE,L3-2,2002,0.856840995,0.779930285,0.505,2.02020202,3,12
YOSE,L3-3,2002,0.500402424,0.721928095,0.32,1.470588235,2,13
YOSE,L3-3,2013,0.600242897,0.432983726,0.323080125,1.477279715,4,15
YOSE,L3-5,2002,0.686961577,0.99107606,0.49382716,1.975609756,2,7
YOSE,L3-5,2013,1.086215851,0.606228609,0.57657049,2.36166818,6,23
YOSE,L3-7,2002,0,0,0,1,1,19
YOSE,L3-7,2013,0.757340942,0.422680028,0.354841328,1.55000629,6,18
YOSE,N13-1,2013,1.430858151,0.596714197,0.670638275,3.0361755,11,29
YOSE,N13-10,2013,1.721051838,0.574501217,0.645297291,2.819262367,20,49
YOSE,N13-11,2013,1.415572376,0.614775272,0.675132504,3.078178065,10,9
YOSE,N13-12,2013,1.53253866,0.697488402,0.737675598,3.812073881,9,10
YOSE,N13-13,2013,0.824709346,0.375341399,0.394117647,1.650485437,9,11
YOSE,N13-14,2013,1.207386433,0.620473886,0.602003303,2.512583668,7,22
YOSE,N13-17,2013,1.720584332,0.548744221,0.683425935,3.158818457,23,46
YOSE,N13-18,2013,0.6086336,0.378165318,0.270555556,1.370906321,5,27
YOSE,N13-19,2013,1.325496984,0.552775177,0.615902041,2.603502508,11,18
YOSE,N13-2,2013,0.815380029,0.588172362,0.426476389,1.743607377,4,10
YOSE,N13-3,2013,1.131542588,0.70306694,0.643059339,2.801586114,5,24
YOSE,N13-4,2013,0.576841079,0.416102882,0.307013198,1.443028924,4,24
YOSE,N13-5,2013,0.841433822,0.469613157,0.424683196,1.738172764,6,32
YOSE,N13-6,2013,0.850768681,0.474823042,0.467962923,1.879568252,6,31
YOSE,N13-7,2013,0.648708237,0.362050961,0.302261788,1.433202285,6,22
