GenusSpeciesSex,d
Osmia bruneri f,0.408193509
Osmia grinnelli f,0.408607545
Atoposmia hebitis m,0.41076061
Osmia nifoata m,0.411044032
Apis mellifera f,0.411219205
Anthidium maculosum m,0.412279197
Osmia subaustralis m,0.412326604
Osmia inurbana m,0.412589387
Megachile melanophaea m,0.413260199
Melissodes lupina f,0.41350088
Osmia cara f,0.413722616
Ceratina sequoiae m,0.414015479
Megachile gravita m,0.414685966
Osmia nemoris f,0.415075084
Lasioglossum nevadense m,0.415319669
Anthophora bomboides m,0.415339866
Ashmeadiella californica f,0.415542497
Hylaeus episcopalis f,0.416417229
Ashmeadiella timberlakei m,0.417305252
Megachile melanogaster f,0.41751199
Lasioglossum ovaliceps f,0.417610835
Eucera edwardsii f,0.418140531
Megachile pascoensis m,0.418822181
Hylaeus annulatus f,0.420009608
Osmia paradisica m,0.420449773
Andrena surda f,0.421267414
Nomada verecunda m,0.421267414
Perdita yosemitensis m,0.421956035
Ashmeadiella aridula m,0.422419277
Lasioglossum inconditus f,0.42304968
Bombus centralis m,0.423270005
Ceratina timberlakei m,0.423547983
Megachile brevis f,0.424527436
Bombus vosnesenskii m,0.425251724
Megachile subnigra m,0.426128971
Osmia laeta m,0.426368998
Halictus tripartitus m,0.426410509
Ceratina pacifica f,0.426930902
Bombus californicus m,0.426943995
Bombus bifarius f,0.427109333
Chelostoma phaceliae m,0.429883564
Eucera frater m,0.432229862
Ashmeadiella timberlakei f,0.432588472
Anthidium clypeodentatum m,0.433109253
Hylaeus annulatus m,0.434863024
Andrena prunorum f,0.435069285
Megachile texensis f,0.435144539
Perdita rivalis m,0.435485147
Melecta edwardsii f,0.437265301
Osmia clarescens f,0.437265301
Habropoda dammersi f,0.437924319
Stelis monticola f,0.438163271
Melissodes robustior f,0.43857682
Ashmeadiella australis f,0.438659324
Ceratina pacifica m,0.438975328
Megachile pugnata m,0.440290488
Atoposmia abjecta m,0.441019285
Osmia physariae f,0.441041032
Andrena edwardsi f,0.441743213
Anthidiellum robertsoni m,0.443523514
Osmia californica m,0.444172848
Dufourea virgata m,0.445021731
Osmia glauca m,0.446365322
Perdita yosemitensis f,0.446472118
Stelis carnifex m,0.449124126
Megachile apicalis f,0.449335565
Osmia lignaria m,0.450756495
Dufourea pectinipes f,0.451173596
Andrena lewisorum f,0.451522718
Megachile parallela f,0.452281456
Osmia brevis f,0.452819143
Osmia ednae f,0.453148494
Osmia nemoris m,0.455688681
Megachile fidelis f,0.456220799
Atoposmia copelandica m,0.458049701
Ashmeadiella bucconis m,0.458681698
Andrena chlorura f,0.459243324
Ashmeadiella cubiceps f,0.459607311
Bombus sylvicola f,0.459712971
Chelostoma minutum f,0.460449389
Megachile relativa f,0.461242691
Atoposmia elongata f,0.462210488
Osmia giliarum m,0.463042596
Stelis occidentalis m,0.46379059
Osmia trevoris f,0.464109205
Osmia integra f,0.464118016
Osmia coloradensis f,0.465953052
Andrena columbiana f,0.466300191
Osmia subaustralis f,0.467362342
Andrena osmioides f,0.467956704
Halictus rubicundus m,0.47019001
Atoposmia elongata m,0.470777583
Melissodes microsticta f,0.47173738
Hylaeus personatellus f,0.47442644
Osmia texana f,0.474586901
Calliopsis zonalis f,0.475784957
Megachile gravita f,0.476910282
Megachile frugalis m,0.477101496
Diadasia bituberculata m,0.477132342
Calliopsis fracta m,0.478232011
Osmia bakeri f,0.478381306
Lasioglossum albuquerquense f,0.478865022
Osmia obliqua m,0.479369793
Anthidium collectum f,0.479512595
Osmia californica f,0.47952544
Anthophora bomboides f,0.48000434
Halictus farinosus f,0.480583817
Osmia gabrielis f,0.481629734
Dufourea bernardina m,0.4857553
Heriades cressoni m,0.486103199
Atoposmia copelandica f,0.486276837
Bombus centralis f,0.487519017
Megachile inimica f,0.48978566
Osmia nigrifrons m,0.492249888
Halictus ligatus f,0.492386032
Osmia bakeri m,0.494349142
Osmia inermis f,0.495536787
Andrena cressonii m,0.497494146
Andrena medionitens f,0.497668628
Osmia marginipennis f,0.498362144
Perdita nevadensis m,0.500336426
Stelis laticincta m,0.501213143
Osmia paradisica f,0.502230224
Colletes consors f,0.50296808
Megachile pugnata f,0.506609346
Ashmeadiella australis m,0.509795786
Hoplitis sambuci f,0.509797817
Lasioglossum brunneiventre m,0.511356548
Andrena candidiformis f,0.515803086
Ceratina timberlakei f,0.516403155
Atoposmia abjecta f,0.517040135
Osmia montana f,0.517881401
Heriades cressoni f,0.51883709
Calliopsis edwardsii f,0.519003345
Bombus sylvicola m,0.5199486
Chelostoma marginatum m,0.521947754
Osmia juxta f,0.522512123
Andrena cristata f,0.527287434
Lasioglossum nevadense f,0.531264477
Megachile relativa m,0.532867289
Habropoda tristissima f,0.533131321
Andrena frigida f,0.533137407
Habropoda dammersi m,0.533773626
Calliopsis anthidia f,0.53810608
Andrena omninigra f,0.539618356
Halictus farinosus m,0.540783334
Hoplitis linsdalei f,0.543694922
Andrena washingtoni f,0.544506649
Andrena crudeni m,0.546572986
Lasioglossum allonotum f,0.550055144
Calliopsis trifolii f,0.551898244
Dufourea trochantera m,0.555964816
Dufourea bernardina f,0.558490666
Dufourea calochorti m,0.559647917
Ceratina arizonensis f,0.562955588
Osmia inermis m,0.563337249
Hylaeus mesillae m,0.56563179
Diadasia nigrifrons m,0.571322611
Perdita hirticeps f,0.571682755
Lasioglossum cyaneonotum f,0.571977285
Hylaeus calvus f,0.575484836
Chelostoma incisulum f,0.575488956
Hoplitis linsdalei m,0.577970518
Epeolus minimus m,0.580871297
Andrena pallidifovea f,0.581834228
Bombus flavifrons f,0.584665493
Megachile frugalis f,0.586421892
Eucera frater f,0.588722544
Lasioglossum knereri f,0.588860228
Andrena chalybaea f,0.589402969
Andrena hypoleuca f,0.589505912
Andrena crudeni f,0.590496262
Megachile angelarum f,0.594860309
Diadasia nigrifrons f,0.60027172
Hoplitis uvulalis m,0.60027172
Megachile coquilletti m,0.60027172
Dufourea nemophilae m,0.600671778
Nomada crotchii f,0.606182212
Andrena quercina f,0.606421545
Calliopsis edwardsii m,0.613691508
Osmia giffardi m,0.616893143
Bombus balteatus f,0.620995805
Dufourea calochorti f,0.621165912
Perdita claypolei f,0.626001701
Andrena congrua f,0.626392346
Hoplitis laevibullata m,0.626546489
Hesperapis regularis f,0.630680195
Atoposmia triodonta m,0.63201744
Perdita tularensis f,0.633837872
Andrena vierecki f,0.63417256
Melissodes pallidisignata f,0.641159239
Bombus balteatus m,0.642662371
Panurginus occidentalis m,0.643899743
Andrena plana f,0.646065509
Dufourea versatilis m,0.64847841
Andrena cerasifolii f,0.650521525
Andrena palpalis f,0.652685881
Perdita rivalis f,0.654319571
Ceratina arizonensis m,0.654396483
Dufourea versatilis f,0.655056804
Anthophora platti m,0.657578892
Calliopsis cincta m,0.657578892
Andrena cercocarpi f,0.660326095
Augochlorella pomoniella f,0.661041511
Atoposmia triodonta f,0.669510691
Eucera venusta m,0.671476541
Calliopsis anthidia m,0.673997181
Andrena macrocephala f,0.674396248
Andrena anisochlora m,0.675934502
Lasioglossum punctatoventre m,0.675934502
Habropoda tristissima m,0.681350337
Panurginus occidentalis f,0.68173669
Hesperapis regularis m,0.682215801
Lasioglossum veganum f,0.686224937
Dufourea calientensis m,0.687497529
Anthophora platti f,0.690403715
Osmia sculleni f,0.691478631
Lasioglossum ruidosense f,0.695722519
Chelostoma phaceliae f,0.698114879
Diadasia bituberculata f,0.699204928
Colletes nigrifrons f,0.718191027
Andrena chlorogaster m,0.720767613
Dufourea subdavidsoni m,0.722102244
Perdita quadrisignata m,0.725141304
Andrena hemileuca f,0.735954298
Andrena nothocalaidis f,0.740843886
Ashmeadiella foveata m,0.749181072
Dioxys producta f,0.749181072
Epeolus compactus f,0.749181072
Osmia pikei f,0.749181072
Perdita claypolei m,0.751327884
Andrena nemophilae f,0.754161825
Lasioglossum pilosum f,0.770470605
Andrena chlorogaster f,0.771358997
Andrena concinnula f,0.783956335
Andrena semipunctata f,0.783956335
Andrena subaustralis f,0.783956335
Calliopsis trifolii m,0.804757952
Andrena lomatii f,0.828789446
Perdita tularensis m,0.82957242
Andrena anisochlora f,0.843630739
Colletes paniscus f,0.845168644
Andrena vandykei f,0.878707431
Perdita hirticeps m,0.891978167
Stelis semirubra f,0.891978167
Andrena hamulata f,0.93822349
