Males,Females,Family,Genus,Species,PlantGenusSpecies
0,1,Andrenidae,Andrena,cleodora,Nemophila heterophylla 
0,11,Andrenidae,Andrena,cleodora,NA
0,1,Andrenidae,Andrena,cleodora,Rhamnus sp. 
2,0,Andrenidae,Andrena,coconina,Salix sp. 
0,1,Andrenidae,Andrena,columbiana,Achillea millefolium 
0,2,Andrenidae,Andrena,columbiana,Aster alpigenus ssp.andersonii 
0,2,Andrenidae,Andrena,columbiana,Aster occidentalis 
0,1,Andrenidae,Andrena,columbiana,Aster sp. 
0,1,Andrenidae,Andrena,columbiana,Erigeron breweri var.breweri
0,2,Andrenidae,Andrena,columbiana,Erigeron compositus 
0,1,Andrenidae,Andrena,columbiana,Erigeron peregrinus 
0,2,Andrenidae,Andrena,columbiana,Erigeron peregrinus var. hirsutus
0,1,Andrenidae,Andrena,columbiana,Lupinus lepidus var.sellulus 
0,1,Andrenidae,Andrena,columbiana,Monardella odoratissima ssp.pallida 
12,144,Andrenidae,Andrena,columbiana,NA
0,5,Andrenidae,Andrena,columbiana,Pyrrocoma apargioides 
0,1,Andrenidae,Andrena,columbiana,Ranunculus alismifolius var.alismifolius
0,4,Andrenidae,Andrena,columbiana,Senecio scorzonella 
0,1,Andrenidae,Andrena,columbiana,Solidago multiradiata 
0,3,Andrenidae,Andrena,columbiana,Sphenosciadium capitellatum 
0,1,Andrenidae,Andrena,concinnula,Minuartia californica 
0,1,Andrenidae,Andrena,concinnula,Salix sp. 
0,2,Andrenidae,Andrena,congrua,Arctostaphylos viscida 
0,1,Andrenidae,Andrena,congrua,Calandrinia ciliata 
0,3,Andrenidae,Andrena,congrua,Ceanothus integerrimus 
0,1,Andrenidae,Andrena,congrua,Comandra umbellata ssp.californica 
0,1,Andrenidae,Andrena,congrua,Cryptantha sp. 
0,3,Andrenidae,Andrena,congrua,Eriodictyon californicum 
0,1,Andrenidae,Andrena,congrua,Eschscholzia caespitosa 
0,2,Andrenidae,Andrena,congrua,Mentzelia crocea 
0,19,Andrenidae,Andrena,congrua,NA
0,1,Andrenidae,Andrena,congrua,Phacelia heterophylla ssp.virgata 
0,1,Andrenidae,Andrena,congrua,Phacelia sp. 
0,19,Andrenidae,Andrena,congrua,Plagiobothrys nothofulvus 
0,1,Andrenidae,Andrena,congrua,Rhus trilobata 
0,1,Andrenidae,Andrena,congrua,Sedum spathulifolium 
4,0,Andrenidae,Andrena,cressonii,Amelanchier utahensis 
4,0,Andrenidae,Andrena,cressonii,Arctostaphylos patula 
4,0,Andrenidae,Andrena,cressonii,Arctostaphylos viscida 
2,1,Andrenidae,Andrena,cressonii,Ceanothus integerrimus 
0,3,Andrenidae,Andrena,cressonii,Chamaebatia foliolosa 
0,1,Andrenidae,Andrena,cressonii,Cornus sericea ssp.occidentalis 
1,0,Andrenidae,Andrena,cressonii,Eriodictyon californicum 
0,1,Andrenidae,Andrena,cressonii,Horkelia tridentata 
4,3,Andrenidae,Andrena,cressonii,Limnanthes alba 
0,4,Andrenidae,Andrena,cressonii,Limnanthes alba ssp.versicolor 
0,5,Andrenidae,Andrena,cressonii,Limnanthes montana 
23,4,Andrenidae,Andrena,cressonii,NA
0,1,Andrenidae,Andrena,cressonii,Phacelia humilis 
3,0,Andrenidae,Andrena,cressonii,Prunus sp. 
0,1,Andrenidae,Andrena,cressonii,Prunus virginiana ssp.demissa 
0,1,Andrenidae,Andrena,cressonii,Quercus sp. 
3,0,Andrenidae,Andrena,cressonii,Salix scouleriana 
1,4,Andrenidae,Andrena,cressonii,Salix sp. 
13,1,Andrenidae,Andrena,cressonii,Thysanocarpus curvipes 
2,1,Andrenidae,Andrena,cressonii,Toxicodendron diversilobum 
0,1,Andrenidae,Andrena,cressonii,Trifolium willdenovii 
0,1,Andrenidae,Andrena,cristata,Arctostaphylos nevadensis 
0,11,Andrenidae,Andrena,cristata,Arctostaphylos patula 
0,24,Andrenidae,Andrena,cristata,Arctostaphylos viscida 
0,17,Andrenidae,Andrena,cristata,NA
0,0,Andrenidae,Andrena,cruciferarum,Allium validum 
0,0,Andrenidae,Andrena,cruciferarum,Asclepias fascicularis 
0,0,Andrenidae,Andrena,cruciferarum,Lotus argophyllus var.fremontii 
0,0,Andrenidae,Andrena,cruciferarum,Lotus oblongifolius var.oblongifolius
0,0,Andrenidae,Andrena,cruciferarum,Mentha arvensis 
0,0,Andrenidae,Andrena,cruciferarum,NA
0,0,Andrenidae,Andrena,cruciferarum,Senecio scorzonella 
0,0,Andrenidae,Andrena,cruciferarum,Solidago canadensis ssp.elongata 
0,0,Andrenidae,Andrena,cruciferarum,Solidago multiradiata 
0,0,Andrenidae,Andrena,cruciferarum,Sphenosciadium capitellatum 
0,1,Andrenidae,Andrena,crudeni,Geranium carolinianum 
0,1,Andrenidae,Andrena,crudeni,Limnanthes alba 
0,3,Andrenidae,Andrena,crudeni,Nemophila menziesii 
3,9,Andrenidae,Andrena,crudeni,Nemophila menziesii var.menziesii
6,147,Andrenidae,Andrena,crudeni,NA
0,2,Andrenidae,Andrena,cupreotincta,NA
0,1,Andrenidae,Andrena,edwardsi,Antennaria rosea 
0,1,Andrenidae,Andrena,edwardsi,Ceanothus cordulatus 
0,1,Andrenidae,Andrena,edwardsi,Ceanothus integerrimus 
0,1,Andrenidae,Andrena,edwardsi,Horkelia tridentata 
0,2,Andrenidae,Andrena,edwardsi,NA
