Park,Site,SiteStatus,HeatLoad,TimesBurnt,SiteStatus_old,Aspect,DomSp,Slope,N,E,Lat,Long,State,Country,County,Locality,PolSite,FirePerim
YOSE,P39,MOD,0.043197697,3,MOD,16,P,9,4171589,279971,37.66689956,119.4955697,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P41,LOW,0.712038592,4,LOW,230,P,11,4171792,280571,37.66887132,119.488834,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P44,UNCHANGED,0.74608257,4,UNCHANGED,270,P,10,4172191,280371,37.67241636,119.4912198,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P45,LOW,0.730897351,4,LOW,232,P,9,4172193,280576,37.6724835,119.488898,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,R210,UNCHANGED,0.357659572,2,UNCHANGED,330,R,45,4170188,277570,37.65370511,119.5223408,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,R212,LOW,0.710573059,2,LOW,240,R,24,4171192,282971,37.66403924,119.4614669,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,R213,LOW,0.708016842,2,LOW,247,R,53,4171406,282976,37.66596741,119.4614739,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,R29,HIGH,0.256106847,2,HIGH,346,R,14,4170191,277379,37.65368583,119.5245049,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W01,HIGH,-0.091583219,0,HIGH,28,W,35,4173202,274961,37.68020868,119.5528193,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W02,MOD,0.49994684,0,MOD,198,W,34,4173193,275160,37.68017641,119.5505619,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W03,HIGH,-0.079159939,0,HIGH,32,W,12,4173397,275380,37.68206729,119.5481323,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W11,MOD,0.042268857,1,MOD,8,W,54,4172793,275774,37.676725,119.5434825,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W12,MOD,0.007036058,1,MOD,13,W,44,4172796,275982,37.67680278,119.541127,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W13,MOD,0.001527324,1,MOD,14,W,39,4172793,276169,37.67682139,119.5390075,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W14,HIGH,0.11691233,1,HIGH,360,W,28,4172997,275976,37.67861118,119.5412567,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W15,MOD,0.227523449,1,MOD,347,W,25,4172984,276171,37.67854177,119.5390435,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W210,LOW,0.429259382,2,LOW,321,W,44,4170989,278577,37.66116139,119.5111787,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W211,LOW,0.591404863,2,LOW,306,W,9,4171185,278165,37.6628268,119.5159051,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W22,HIGH,0.595777915,2,HIGH,302,W,13,4171393,282173,37.66566013,119.4705665,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W23,MOD,0.673112222,2,MOD,285,W,17,4171392,282575,37.66574638,119.4660124,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W24,LOW,0.748178408,2,LOW,269,W,10,4171396,282772,37.66582911,119.4637819,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W25,LOW,0.747432557,2,LOW,259,W,13,4171603,282153,37.66754639,119.4708558,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W26,MOD,0.714267932,2,MOD,270,W,21,4171602,282570,37.66763633,119.4661316,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W27,UNCHANGED,0.366775452,2,UNCHANGED,329,W,42,4170791,277975,37.65923297,119.5179373,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W28,UNCHANGED,0.359041445,2,UNCHANGED,330,W,41,4170787,278174,37.65924512,119.5156821,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,W29,LOW,0.419132686,2,LOW,324,W,23,4170990,278171,37.6610723,119.5157778,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,L21,MOD,0.756157095,2,MOD,280,L,6,4172194,281771,37.67277762,119.4753601,CA,USA,Mariposa,Illilouette basin,1,Hoover
YOSE,L24,HIGH,0.603939132,2,HIGH,307,L,7,4172592,280974,37.67617162,119.4845089,CA,USA,Mariposa,Illilouette basin,1,Hoover
YOSE,L33,LOW,0.442353546,3,LOW,322,L,18,4172997,279772,37.67953067,119.4982493,CA,USA,Mariposa,Illilouette basin,1,Hoover
YOSE,L35,MOD,0.606393934,3,MOD,333,L,2,4173387,280366,37.68318501,119.4916368,CA,USA,Mariposa,Illilouette basin,1,Hoover
YOSE,N131,LOW,NA,1,LOW,4,NA,1,4172819,277106.1,37.67534902,119.526569,CA,USA,Mariposa,Illilouette basin,1,Meadow
YOSE,N132,MOD,NA,1,MOD,309,NA,11,4173418,276195.4,37.680508,119.538082,CA,USA,Mariposa,Illilouette basin,1,Meadow
YOSE,N133,HIGH,NA,2,HIGH,16,NA,21,4173400,274181.6,37.68001799,119.560741,CA,USA,Mariposa,Illilouette basin,1,Meadow
YOSE,N134,MOD,NA,1,MOD,270,NA,17,4172815,273798.9,37.67451704,119.565087,CA,USA,Mariposa,Illilouette basin,1,Meadow
YOSE,N135,MOD,NA,1,LOW,50,NA,13,4173212,273337.8,37.67802,119.569742,CA,USA,Mariposa,Illilouette basin,1,Meadow
YOSE,N136,LOW,NA,1,MOD,60,NA,4,4172594,273211.5,37.67256799,119.571822,CA,USA,Mariposa,Illilouette basin,1,Meadow
YOSE,N137,HIGH,NA,1,HIGH,260,NA,14,4172196,273608.5,37.66906503,119.567166,CA,USA,Mariposa,Illilouette basin,1,Meadow
YOSE,N139,LOW,NA,1,LOW,340,NA,30,4173814,273813.9,37.68352096,119.565397,CA,USA,Mariposa,Illilouette basin,1,Meadow
YOSE,P24,LOW,0.692245387,2,LOW,226,P,12,4173202,281575,37.68180787,119.4778827,CA,USA,Mariposa,Illilouette basin,1,Hoover
YOSE,P310,HIGH,0.688347932,3,HIGH,284,P,13,4171990,279769,37.67046212,119.4979791,CA,USA,Mariposa,Illilouette basin,1,Hoover
YOSE,P33,HIGH,0.750642117,3,HIGH,250,P,12,4173591,280974,37.6851675,119.4848092,CA,USA,Mariposa,Illilouette basin,1,Hoover
YOSE,P37,LOW,0.135219167,3,MOD,5,P,8,4171393,280171,37.66518261,119.493245,CA,USA,Mariposa,Illilouette basin,1,Horizon
YOSE,P43,LOW,0.75194423,4,LOW,243,P,10,4171993,280574,37.67068198,119.4888605,CA,USA,Mariposa,Illilouette basin,1,Horizon
YOSE,W04,HIGH,0.412571261,0,HIGH,328,W,12,4173393,275562,37.68207584,119.546069,CA,USA,Mariposa,Illilouette basin,1,Meadow
